OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
527	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0303564062	-0.0966505387	4.1451898880	0.0027323670	0.0002258322	0.0000000000	0.0004833646	-0.0015955705	0.0000000000	0.0006204241	-341.2968054152	0.0000000000	0.0000000000	-0.4245461021	-6.7597100880	0.9718169464	mm
527	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0995416739	0.0642611509	4.1654900033	0.0030521654	0.0004601328	0.0000000000	0.0014167026	0.0011384628	0.0000000000	0.0008823872	341.2968054152	0.0000000000	0.0000000000	0.4245461021	5.6695219553	0.7238954211	mm
492	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0031193065	-0.0152815885	4.1623303315	0.0036082525	0.0002437102	0.0000000000	0.0005444299	-0.0000564227	0.0000000000	0.0006609799	-337.8643326643	0.0000000000	0.0000000000	0.3283585325	-8.7020160306	-1.4866916230	mm
492	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0051982179	-0.0526607607	4.1667820885	0.0035807063	0.0001157940	0.0000000000	-0.0005586000	-0.0009895181	0.0000000000	0.0007972506	337.8643326643	0.0000000000	0.0000000000	-0.3283585325	7.6549476424	-2.4701772149	mm
832	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0303564062	-0.0966505387	4.1451898880	0.0027323670	0.0002258322	0.0000000000	0.0004833646	-0.0015955705	0.0000000000	0.0006204241	-341.2968054152	0.0000000000	0.0000000000	-0.4245461021	-6.7597100880	0.9718169464	mm
832	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0995416739	0.0642611509	4.1654900033	0.0030521654	0.0004601328	0.0000000000	0.0014167026	0.0011384628	0.0000000000	0.0008823872	341.2968054152	0.0000000000	0.0000000000	0.4245461021	5.6695219553	0.7238954211	mm
GBR2-1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0031193065	-0.0152815885	4.1623303315	0.0036082525	0.0002437102	0.0000000000	0.0005444299	-0.0000564227	0.0000000000	0.0006609799	-337.8643326643	0.0000000000	0.0000000000	0.3283585325	-8.7020160306	-1.4866916230	mm
GBR2-1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0051982179	-0.0526607607	4.1667820885	0.0035807063	0.0001157940	0.0000000000	-0.0005586000	-0.0009895181	0.0000000000	0.0007972506	337.8643326643	0.0000000000	0.0000000000	-0.3283585325	7.6549476424	-2.4701772149	mm
647	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1337533957	-0.0181679751	4.1858402611	0.0047700683	-0.0001473723	0.0000000000	0.0022136668	-0.0002891325	0.0000000000	0.0002791325	-336.7991447802	0.0000000000	0.0000000000	-0.2595525364	-5.9122954007	-0.7556115117	mm
647	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1176640853	-0.0405538965	4.1937457609	0.0021897198	0.0011123405	0.0000000000	0.0019567156	-0.0003480972	0.0000000000	-0.0003828261	336.7991447802	0.0000000000	0.0000000000	0.2595525364	6.3682318503	-1.3175232424	mm
236	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0063559075	-0.0283359894	4.1623004508	0.0036945228	0.0003334773	0.0000000000	0.0006393398	-0.0000079438	0.0000000000	0.0007392438	-341.7117486622	0.0000000000	0.0000000000	-0.0141874133	-7.1164553487	2.9981157797	mm
236	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1528027018	-0.0055431418	4.1568334568	0.0044435702	0.0000968966	0.0000000000	0.0014529506	-0.0001795135	0.0000000000	0.0025466471	341.7117486622	0.0000000000	0.0000000000	0.0141874133	6.9079449445	0.2248759783	mm
12	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0760827375	-0.0386289937	4.1635052877	0.0025383859	0.0003045503	0.0000000000	0.0009299490	-0.0003148532	0.0000000000	0.0011984626	-338.8099837942	0.0000000000	0.0000000000	-0.0140654910	-6.3514387934	-0.6468721004	mm
12	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0353697465	-0.0156921754	4.1538285614	0.0036323297	-0.0000307389	0.0000000000	0.0001809170	0.0000305500	0.0000000000	0.0017773831	338.8099837942	0.0000000000	0.0000000000	0.0140654910	7.3356599638	-1.7490194500	mm
26	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0303564062	-0.0966505387	4.1451898880	0.0027323670	0.0002258322	0.0000000000	0.0004833646	-0.0015955705	0.0000000000	0.0006204241	-341.2968054152	0.0000000000	0.0000000000	-0.4245461021	-6.7597100880	0.9718169464	mm
26	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0995416739	0.0642611509	4.1654900033	0.0030521654	0.0004601328	0.0000000000	0.0014167026	0.0011384628	0.0000000000	0.0008823872	341.2968054152	0.0000000000	0.0000000000	0.4245461021	5.6695219553	0.7238954211	mm
688	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0218097737	-0.0560100974	4.1476137066	0.0033151164	0.0003053701	0.0000000000	0.0003771125	-0.0011431495	0.0000000000	0.0006758495	-346.3098884193	0.0000000000	0.0000000000	-0.0966692345	-7.2182686628	-2.0809521629	mm
688	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0834371579	-0.0870409182	4.1396443788	0.0038545497	0.0002606912	0.0000000000	0.0008544122	-0.0011038072	0.0000000000	0.0013498147	346.3098884193	0.0000000000	0.0000000000	0.0966692345	7.3070310201	-1.0461073771	mm
50	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
50	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
